"filename", "language", "C#", "comment", "blank", "total"
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Enums.cs", "C#", 41, 0, 7, 48
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Infinte Map\infinteChildMover.cs", "C#", 29, 2, 10, 41
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Infinte Map\infinteMap.cs", "C#", 25, 1, 6, 32
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Interface\ICollectable.cs", "C#", 7, 0, 2, 9
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Interface\IPlayerStatDependency.cs", "C#", 7, 0, 2, 9
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\AudioManager.cs", "C#", 32, 0, 8, 40
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\CameraController.cs", "C#", 25, 1, 7, 33
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\CurrencyManager.cs", "C#", 82, 4, 32, 118
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\DamageTextManager.cs", "C#", 68, 2, 20, 90
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\GameManager.cs", "C#", 73, 2, 16, 91
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\InventoryManager.cs", "C#", 102, 2, 31, 135
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\PlayerStatManager.cs", "C#", 79, 1, 24, 104
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\ResourcesManager.cs", "C#", 64, 0, 11, 75
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\SettingsManager.cs", "C#", 110, 2, 31, 143
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\UIMnanager.cs", "C#", 108, 0, 19, 127
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\WaveManagerUI.cs", "C#", 12, 0, 6, 18
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\WaveManger.cs", "C#", 133, 3, 38, 174
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\WaveTransitionManager.cs", "C#", 172, 4, 41, 217
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\WeaponMerger.cs", "C#", 56, 0, 19, 75
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Managers\WeaponSelectionManager.cs", "C#", 57, 0, 17, 74
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\Gifplayer.cs", "C#", 38, 0, 6, 44
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\Player.cs", "C#", 55, 4, 19, 78
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\PlayerController.cs", "C#", 27, 1, 7, 35
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\PlayerDetection.cs", "C#", 18, 0, 5, 23
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\PlayerHealth.cs", "C#", 98, 24, 27, 149
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\PlayerLevel.cs", "C#", 58, 1, 14, 73
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\PlayerObjects.cs", "C#", 32, 2, 9, 43
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Player\PlayerWeapons.cs", "C#", 49, 2, 10, 61
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Scriptable Objects\CharacterDataSO.cs", "C#", 62, 0, 10, 72
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Scriptable Objects\ObjectDataSO.cs", "C#", 31, 0, 7, 38
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Scriptable Objects\PaletteSO.cs", "C#", 9, 0, 2, 11
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Scriptable Objects\StatIconsDataSO.cs", "C#", 14, 0, 2, 16
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Scriptable Objects\WeaponDataSO.cs", "C#", 50, 0, 10, 60
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Shop\ShopItemContainer.cs", "C#", 97, 0, 32, 129
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Shop\ShopManager.cs", "C#", 115, 2, 31, 148
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Shop\ShopManagerUI.cs", "C#", 125, 2, 40, 167
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\CharacterButton.cs", "C#", 33, 0, 8, 41
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\CharacterInfoPanel.cs", "C#", 21, 0, 8, 29
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\CharacterSelectionManager.cs", "C#", 88, 2, 29, 119
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\ChestObjectContainer.cs", "C#", 35, 0, 11, 46
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\CurrencyText.cs", "C#", 16, 0, 4, 20
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\InventoryItemContainer.cs", "C#", 39, 0, 12, 51
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\InventoryItemInfo.cs", "C#", 53, 0, 13, 66
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\PlayerStatsDisplay.cs", "C#", 28, 0, 10, 38
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\ProCurrencyText.cs", "C#", 16, 0, 4, 20
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\StatContainer.cs", "C#", 48, 0, 13, 61
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\StatContainerManager.cs", "C#", 54, 0, 14, 68
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\UpgradeContainer.cs", "C#", 19, 0, 5, 24
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\UI\WeaponSelectionContainer.cs", "C#", 45, 0, 13, 58
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Weapons\Bullet.cs", "C#", 70, 4, 21, 95
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Weapons\MeleeWeapon.cs", "C#", 104, 2, 28, 134
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Weapons\RangeWeapon.cs", "C#", 92, 2, 29, 123
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Weapons\Weapon.cs", "C#", 97, 1, 31, 129
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Weapons\WeaponPosition.cs", "C#", 20, 0, 7, 27
"d:\mygames\roguelike shooter\Roguelike Shooter\Assets\Kawaii Survivor\Scripts\Weapons\WeaponStatsCalculator.cs", "C#", 29, 0, 7, 36
"Total", "-", 3899, 99, 1091, 5089
